Scenario,Monte_Carlo_Run,Iteration,Num_Experiments,Total Capsids_Measurements,Total Capsids_IterBest,Total Capsids_CumBest
Sequential greedy PI,3,2,30,"[44.814898522294584, 38.664691936455206, 38.928091510344764, 38.443170450139306, 37.87317675026733, 43.49738260695055, 35.71403201413218, 36.693516492481535, 35.19428591782911, 37.07842186318203]",44.814898522294584,44.814898522294584
Sequential greedy PI,3,3,40,"[43.665122597274475, 45.60355101475506, 35.478855750423065, 37.89561685927067, 42.828002825967275, 37.81286315222461, 39.44638027079938, 26.513923287683795, 37.77925731999609, 35.527690205753395]",45.60355101475506,45.60355101475506
Sequential greedy PI,3,4,50,"[45.717887139384466, 45.54347070617724, 45.70845999283575, 44.97044439908656, 41.251367651967705, 43.59854106237179, 41.394827216095806, 44.7702149048589, 44.83257076514804, 43.26924939483592]",45.717887139384466,45.717887139384466
Sequential greedy PI,4,0,10,"[29.30447136242797, 40.98408390742914, 36.54659369560962, 33.706467967264295, 33.53886443813584, 31.10298929492112, 37.23127141213523, 30.466204477315966, 38.902410096866944, 29.088887139985]",40.98408390742914,40.98408390742914
Sequential greedy PI,4,1,20,"[42.21692970854957, 38.41909369984906, 42.51161982360134, 38.82977473988752, 40.895261350252476, 41.37433247690299, 38.16551663039165, 40.136992814391874, 40.17026932242685, 36.443825107053286]",42.51161982360134,42.51161982360134
Sequential greedy UCB,0,0,10,"[37.73902413499786, 39.8016435232161, 36.67104180425936, 34.16654701396945, 27.813960923357048, 30.42127344534527, 31.15586897970942, 26.64435607360449, 31.74501780706729, 38.65529088141839]",39.8016435232161,39.8016435232161
Sequential greedy UCB,1,0,10,"[42.87969409238855, 37.58851414022173, 30.246932654380903, 31.228927255573105, 36.14992356097056, 30.59721286140901, 36.588529353985706, 33.63456159919141, 29.088764926898055, 38.69189877046299]",42.87969409238855,42.87969409238855
Sequential greedy UCB,2,0,10,"[29.606081976739137, 41.90322364281173, 31.69894134028845, 33.53700521445871, 34.90883102440571, 37.2701854405985, 37.179046373255034, 34.181971140563995, 27.851210457561518, 33.48456617282989]",41.90322364281173,41.90322364281173
Sequential greedy UCB,2,1,20,"[41.91850187647914, 41.17223707995906, 40.434819214475915, 40.53891029579409, 37.26425540084488, 41.61273794137007, 39.353544018369085, 41.670401607933066, 41.57142802869354, 41.80567683692019]",41.91850187647914,41.91850187647914
Sequential greedy UCB,2,2,30,"[45.717887139384466, 34.153682522188824, 26.532635265939938, 36.813929580192614, 34.56395458894707, 39.94426001827267, 32.26483724893862, 31.32545902410314, 33.635324966361765, 41.63876074384761]",45.717887139384466,45.717887139384466
Sequential greedy UCB,2,3,40,"[45.717887139384466, 33.37533696436592, 30.049566526771198, 34.487640847196225, 40.95683704263894, 34.22608204470748, 33.4730125923277, 27.861904218049578, 42.01336254856316, 42.31778813513343]",45.717887139384466,45.717887139384466
Sequential greedy UCB,2,4,50,"[45.717887139384466, 34.73258952025177, 30.992444089425472, 33.2268711239379, 29.863570861473747, 35.195000399120154, 42.427693909823645, 43.378028244388275, 43.79428540290745, 34.24224675105011]",45.717887139384466,45.717887139384466
Sequential greedy UCB,3,0,10,"[32.50860039400045, 30.777991978335564, 39.83033051582556, 41.61408197760213, 38.52089092272794, 31.89114841503758, 26.547613149780812, 34.182501793071694, 34.9214027949038, 40.8251418060018]",41.61408197760213,41.61408197760213
Sequential greedy UCB,3,1,20,"[44.6665248347169, 45.07144110851883, 45.66310021138749, 40.03972295071543, 44.26715216318876, 44.56700030772863, 43.742035205075204, 41.556614688150205, 44.55094166303779, 45.43285343983169]",45.66310021138749,45.66310021138749
Sequential greedy UCB,3,2,30,"[45.637901910646995, 45.717887139384466, 43.57263160437022, 44.34118587054857, 31.218773662586237, 40.318710826869044, 41.895180878400005, 40.512591934948574, 43.1447590685717, 43.54056988216411]",45.717887139384466,45.717887139384466
Sequential greedy UCB,4,0,10,"[35.78562671198513, 35.64583777560275, 33.66253952776748, 39.20203294205704, 29.051997090801628, 31.367214705256483, 35.001243762683025, 33.59948514438962, 38.51159338015996, 36.63368803662176]",39.20203294205704,39.20203294205704
Sequential greedy UCB,4,1,20,"[39.21002294365911, 38.61166013268653, 39.31217637849391, 40.065753880778004, 41.548313099896546, 39.65428528474072, 38.23427164338282, 39.74270564491611, 41.026848518788235, 39.45957452002823]",41.548313099896546,41.548313099896546
Sequential greedy UCB,4,2,30,"[45.43285343983169, 44.87016693550929, 36.68256525075768, 40.50794700170978, 44.556176264159625, 44.3993122748249, 38.638330409418536, 45.44318875524426, 42.48691235910891, 41.878573208319565]",45.44318875524426,45.44318875524426
Sequential greedy UCB,4,3,40,"[45.717887139384466, 33.75568458534364, 40.9844890429404, 37.914245413273854, 31.427474932304964, 39.192475735855425, 37.15199821262036, 41.52354504803159, 35.05541514687426, 34.075542867370345]",45.717887139384466,45.717887139384466
Sequential greedy UCB,4,4,50,"[45.717887139384466, 35.672071699307644, 37.20690036311931, 32.329984211550205, 39.07660745668757, 28.206562015122824, 41.31954431175714, 41.551053623451345, 33.648979096284805, 39.39987743887864]",45.717887139384466,45.717887139384466
